State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,State Region
Alaska,44966,null,null,1605,6147,202,null,null,6,27,West
Alabama,356820,287173,69647,22251,7277,4774,4174,600,187,97,South
Arkansas,222430,null,null,14489,7371,3637,null,null,261,120,South
American Samoa,3,null,null,0,5,0,null,null,0,0,Other
Arizona,512489,488303,24186,39216,7041,8718,7892,826,539,119,West
California,2218142,null,null,254066,5614,24958,null,null,1674,63,West
Colorado,330859,317032,13827,14359,5745,4750,4111,639,288,82,West
Connecticut,183663,172907,10756,12958,5151,5964,4828,1136,228,167,Northeast
District of Columbia,28758,null,null,1532,4075,780,null,null,29,110,South
Delaware,56596,54292,2304,4361,5812,921,819,102,49,94,South
Florida,1283701,null,null,69941,5977,21546,null,null,672,100,South
Federated States of Micronesia,0,0,0,0,0,0,null,null,0,0,Other
Georgia,654743,558177,96566,46453,6167,10846,9808,1038,327,102,South
Guam,7308,null,null,42,4409,121,null,null,0,72,Other
Hawaii,20851,null,null,667,1473,283,null,null,0,19,West
Iowa,278959,null,null,7651,8842,3822,null,null,154,121,Midwest
Idaho,139864,115850,24014,5879,7826,1403,1240,163,79,78,West
Illinois,955380,955380,0,37310,7539,17811,16357,1454,969,140,Midwest
Indiana,505017,null,null,28479,7502,8160,7812,348,515,121,Midwest
Kansas,222433,186199,36234,12744,7635,2741,null,null,234,94,Midwest
Kentucky,265262,213256,52006,14982,5937,2623,2446,177,157,58,South
Louisiana,311229,null,null,17295,6695,7448,7078,370,222,160,South
Massachusetts,362454,352558,9896,29906,5259,12284,12076,208,446,178,Northeast
Maryland,276662,null,null,15934,4576,5895,5727,168,268,97,South
Maine,24188,20627,3561,2962,1799,344,339,5,27,25,Northeast
Michigan,528621,488144,40477,20172,5293,13018,12333,685,603,130,Midwest
Minnesota,413107,null,null,10588,7325,5321,5100,221,291,94,Midwest
Missouri,388856,null,null,15276,6336,5491,null,null,236,89,Midwest
Northern Mariana Islands,122,122,0,4,0,2,2,0,0,3,Other
Mississippi,215811,147965,67846,13160,7251,4787,3825,962,231,160,South
Montana,81300,81300,0,2778,7607,950,950,0,36,88,West
North Carolina,532830,487967,44863,30616,5080,6729,6325,404,249,64,South
North Dakota,92495,89525,2970,1547,12138,1292,null,null,32,169,Midwest
Nebraska,165297,null,null,5635,8545,1611,null,null,60,83,Midwest
New Hampshire,43242,null,null,4730,3180,741,null,null,64,54,Northeast
New Jersey,472264,null,null,27126,5317,18952,16931,2021,486,213,Northeast
New Mexico,141186,null,null,7944,6733,2436,null,null,193,116,West
Nevada,222594,null,null,12632,7227,3066,null,null,195,99,West
New York,537345,null,null,50283,4861,12466,null,null,654,112,Northeast
New York City,432179,381935,50244,29572,5146,25144,20332,4812,301,299,Northeast
Ohio,690748,620181,70567,45926,5909,8855,8009,846,494,75,Midwest
Oklahoma,297169,239767,57402,21074,7510,2496,2332,164,205,63,South
Oregon,112260,110540,1720,6290,2662,1468,1453,15,65,34,West
Pennsylvania,631333,567281,64052,50177,4932,15672,null,null,1230,122,Northeast
Puerto Rico,76291,71650,4641,5483,2389,1503,1243,260,80,47,Other
Palau,0,null,null,0,0,0,null,null,0,0,Other
Rhode Island,87949,null,null,5883,8302,1777,null,null,73,167,Northeast
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,Other
South Carolina,303475,280024,23451,21245,5894,5249,4846,403,221,101,South
South Dakota,98720,null,null,2680,11159,1464,1186,278,75,165,Midwest
Tennessee,580809,509854,70955,39569,8505,6810,5923,887,430,99,South
Texas,1737447,null,null,100989,5992,27088,null,null,1188,93,South
Utah,271940,271940,0,14243,8482,1256,1233,23,60,39,West
Virginia,349584,293446,56138,25669,4096,5032,4437,595,241,58,South
Virgin Islands,2031,null,null,64,1940,23,null,null,0,21,Other
Vermont,7276,null,null,596,1166,134,null,null,17,21,Northeast
Washington,242330,null,null,12128,3182,3420,null,null,258,44,West
Wisconsin,516226,477292,38934,15783,8866,5192,4818,374,239,89,Midwest
West Virginia,84225,68394,15831,8289,4700,1318,null,null,124,73,South
Wyoming,44133,37798,6335,1469,7626,405,405,0,32,69,West
